row_index,url
3,http://nebula2.deanza.edu/~newton/4B/4BE1P4Spring10.jpg
12,http://nebula2.deanza.edu/~newton/4B/4BE1P4Fall10.jpg
57,http://nebula2.deanza.edu/~newton/4B/4BE1004.jpg
5,http://nebula2.deanza.edu/~newton/4B/4BE1001.jpg
80,http://nebula2.deanza.edu/~newton/4B/4BE1026.jpg
1,http://nebula2.deanza.edu/~newton/4B/4BE1P1Spring11.jpg
85,http://nebula2.deanza.edu/~newton/4B/4BE1011.jpg
50,http://nebula2.deanza.edu/~newton/4B/4BE1010.jpg
56,http://nebula2.deanza.edu/~newton/4B/4BE1024.jpg
73,http://nebula2.deanza.edu/~newton/4B/4BE1P1Spring12.jpg
16,http://nebula2.deanza.edu/~newton/4B/4BE1002.jpg
26,http://nebula2.deanza.edu/~newton/4B/4BE1P3Spring12.jpg
33,http://nebula2.deanza.edu/~newton/4B/4BE1P2Fall09.jpg
52,http://nebula2.deanza.edu/~newton/4B/4BE1P4F17Aft
102,http://nebula2.deanza.edu/~newton/4B/4BE1031.jpg
2,http://nebula2.deanza.edu/~newton/4B/4BE1P2Fall10.jpg
11,http://nebula2.deanza.edu/~newton/4B/CapacitorDielectric
58,http://nebula2.deanza.edu/~newton/4B/4BE1025.jpg
4,http://nebula2.deanza.edu/~newton/4B/4BE1P4Spring09.jpg
67,http://nebula2.deanza.edu/~newton/4B/4BE1P2Fall2015.jpg
14,http://nebula2.deanza.edu/~newton/4B/4BE1P3Spring13.jpg
47,http://nebula2.deanza.edu/~newton/4B/4BE1P4Fall2015.jpg
101,http://nebula2.deanza.edu/~newton/4B/4BE1P3Fall10.jpg
97,http://nebula2.deanza.edu/~newton/4B/4BE1018.jpg
65,http://nebula2.deanza.edu/~newton/4B/4BE1P1Fall14.jpg
17,http://nebula2.deanza.edu/~newton/4B/4BE1007.jpg
45,http://nebula2.deanza.edu/~newton/4B/4BE1P2Winter17.jpg
90,http://nebula2.deanza.edu/~newton/4B/4BE1P2Fall2016.jpg
23,http://nebula2.deanza.edu/~newton/4B/4BE1P4Spring14.jpg
76,http://nebula2.deanza.edu/~newton/4B/4BE1P3Fall09.jpg
42,http://nebula2.deanza.edu/~newton/4B/4BE1012.jpg
66,http://nebula2.deanza.edu/~newton/4B/4BE1P3Fall14.jpg
49,http://nebula2.deanza.edu/~newton/4B/4BE1P1Fall08.jpg
94,http://nebula2.deanza.edu/~newton/4B/4BE1013.jpg
99,http://nebula2.deanza.edu/~newton/4B/4BE1P1Fall2016.jpg
51,http://nebula2.deanza.edu/~newton/4B/4BE1P2Winter16.jpg
34,http://nebula2.deanza.edu/~newton/4B/4BE1P1Spring09.jpg
30,http://nebula2.deanza.edu/~newton/4B/4BE1P1Winter12.jpg
77,http://nebula2.deanza.edu/~newton/4B/4BE1P2Spring09.jpg
46,http://nebula2.deanza.edu/~newton/4B/4BE1P2Spring11.jpg
37,http://nebula2.deanza.edu/~newton/4B/4BE1023.jpg
20,http://nebula2.deanza.edu/~newton/4B/4BE1P4Winter17.jpg
82,http://nebula2.deanza.edu/~newton/4B/4BE1017.jpg
72,http://nebula2.deanza.edu/~newton/4B/4BE1P3fall12.jpg
86,http://nebula2.deanza.edu/~newton/4B/4BE1021.jpg
62,http://nebula2.deanza.edu/~newton/4B/4BE1P1Spring10.jpg
53,http://nebula2.deanza.edu/~newton/4B/4BE1P4Fall09.jpg
7,http://nebula2.deanza.edu/~newton/4B/4BE1022.jpg
59,http://nebula2.deanza.edu/~newton/4B/4BE1028.jpg
100,http://nebula2.deanza.edu/~newton/4B/4BE1P3Winter16.jpg
18,http://nebula2.deanza.edu/~newton/4B/4BE2P1F17Morn
54,http://nebula2.deanza.edu/~newton/4B/4BE1P2Winter12.jpg
21,http://nebula2.deanza.edu/~newton/4B/4BE1P4Spring11.jpg
68,http://nebula2.deanza.edu/~newton/4B/4BE1P1Spring14.jpg
48,http://nebula2.deanza.edu/~newton/4B/4BE1P4fall12.jpg
13,http://nebula2.deanza.edu/~newton/4B/4BE1P3Spring14.jpg
24,http://nebula2.deanza.edu/~newton/4B/4BE1P2Fall14.jpg
64,http://nebula2.deanza.edu/~newton/4B/4BE1P4Fall14.jpg
63,http://nebula2.deanza.edu/~newton/4B/4BE1P1Fall2015.jpg
98,http://nebula2.deanza.edu/~newton/4B/4BE1030.jpg
43,http://nebula2.deanza.edu/~newton/4B/4BE1014.jpg
36,http://nebula2.deanza.edu/~newton/4B/4BE1027.jpg
38,http://nebula2.deanza.edu/~newton/4B/4BE1019.jpg
91,http://nebula2.deanza.edu/~newton/4B/4BE1P4Fall2016.jpg
29,http://nebula2.deanza.edu/~newton/4B/4BE1P4Spring12.jpg
44,http://nebula2.deanza.edu/~newton/4B/4BE1P1F17Aft
32,http://nebula2.deanza.edu/~newton/4B/4BE1P1Fall09.jpg
28,http://nebula2.deanza.edu/~newton/4B/4BE1P1Fall10.jpg
71,http://nebula2.deanza.edu/~newton/4B/4BE1P1fall12.jpg
83,http://nebula2.deanza.edu/~newton/4B/4BE1005.jpg
92,http://nebula2.deanza.edu/~newton/4B/4BE1P1Winter16.jpg
40,http://nebula2.deanza.edu/~newton/4B/4BE1003.jpg
75,http://nebula2.deanza.edu/~newton/4B/4BE1P2Spring10.jpg
39,http://nebula2.deanza.edu/~newton/4B/4BE1009.jpg
84,http://nebula2.deanza.edu/~newton/4B/4BE1008.jpg
61,http://nebula2.deanza.edu/~newton/4B/4BE1P3Spring11.jpg
78,http://nebula2.deanza.edu/~newton/4B/4BE1P3Spring09.jpg
8,http://nebula2.deanza.edu/~newton/4B/4BE1016.jpg
6,http://nebula2.deanza.edu/~newton/4B/4BE1P2Spring12.jpg
